Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,172.399994,172.800003,164.550003,166.350006,158.207001,848837
2020-04-03,168.199997,182.649994,167.300003,177.800003,169.096512,1952021
2020-04-07,184.000000,185.649994,173.600006,181.500000,172.615387,2009993
2020-04-08,181.399994,184.000000,176.800003,178.600006,169.857346,1445611
2020-04-09,184.399994,186.250000,180.449997,185.350006,176.276932,1245599
2020-04-13,185.350006,186.550003,181.000000,181.649994,172.758041,664395
2020-04-15,184.800003,193.649994,183.100006,189.449997,180.176224,1539827
2020-04-16,189.750000,191.199997,185.500000,186.500000,177.370636,1093031
2020-04-17,190.500000,191.449997,186.899994,188.100006,178.892319,1344318
2020-04-20,190.899994,190.899994,179.600006,180.750000,171.902100,1330184
2020-04-21,179.000000,184.199997,176.050003,179.649994,170.855942,671347
2020-04-22,179.449997,183.500000,176.199997,182.350006,173.423782,917472
2020-04-23,184.399994,184.399994,180.000000,180.750000,171.902100,1732881
2020-04-24,181.699997,182.750000,179.399994,180.000000,171.188812,307133
2020-04-27,180.000000,182.300003,179.250000,179.800003,170.998611,495128
2020-04-28,180.000000,180.800003,178.100006,179.649994,170.855942,280678
2020-04-29,181.000000,183.000000,179.750000,182.100006,173.186020,356741
2020-04-30,185.000000,185.000000,180.500000,182.149994,173.233566,623844
2020-05-04,182.149994,182.149994,170.750000,174.050003,165.530075,1934840
2020-05-05,175.199997,177.399994,173.250000,173.899994,165.387405,395357
2020-05-06,171.699997,171.699997,160.600006,163.800003,155.781830,2397288
2020-05-07,165.800003,165.850006,160.600006,161.050003,153.166443,753953
2020-05-08,163.000000,164.000000,157.100006,158.300003,150.551056,770389
2020-05-11,160.300003,163.500000,158.100006,158.449997,150.693710,600808
2020-05-12,158.800003,166.000000,157.550003,165.000000,156.923080,815398
2020-05-13,173.000000,173.300003,164.550003,165.399994,157.303497,672513
2020-05-14,165.399994,168.199997,162.050003,163.949997,155.924469,1093710
2020-05-15,162.199997,165.449997,161.300003,164.600006,156.542664,475955
2020-05-18,166.399994,167.199997,163.149994,164.550003,156.495117,742763
2020-05-19,166.000000,171.550003,165.199997,170.699997,162.344055,695883
